task,method,metric,id,ood
1_user_preference,Linear probes,gmean2,0.809,0.25
1_user_preference,SAE probes,gmean2,0.763,0.017
1_user_preference,TF-IDF,gmean2,0.65,0.41
1_user_preference,Attention probes,gmean2,0.479,0.096
1_user_preference,Few-shot LLMs (binary),gmean2,0.825,0.136
1_user_preference,Few-shot LLMs (conf),gmean2,0.699,0.273
1_user_preference,Zero-shot LLMs (binary),gmean2,0.717,0.132
1_user_preference,Zero-shot LLMs (conf),gmean2,0.796,0.251
1_user_preference,Linear probes,auroc,0.865,0.817
1_user_preference,Attention probes,auroc,0.759,0.399
1_user_preference,SAE probes,auroc,0.78,0.777
1_user_preference,TF-IDF,auroc,0.905,0.712
1_user_preference,Few-shot LLMs,auroc,0.736,0.666
1_user_preference,Zero-shot LLMs,auroc,0.755,0.699
2_stanford_hint,Linear probes,gmean2,0.654,0.567
2_stanford_hint,Attention probes,gmean2,0.603,0.665
2_stanford_hint,SAE probes,gmean2,0.633,0.505
2_stanford_hint,TF-IDF,gmean2,0.649,0.4
2_stanford_hint,Few-shot LLMs (conf),gmean2,0.77,0.522
2_stanford_hint,Zero-shot LLMs (conf),gmean2,0.771,0.463
2_stanford_hint,Few-shot LLMs (binary),gmean2,0.12,0.202
2_stanford_hint,Zero-shot LLMs (binary),gmean2,0.045,0.098
2_stanford_hint,Linear probes,auroc,0.812,0.67
2_stanford_hint,Attention probes,auroc,0.753,0.743
2_stanford_hint,SAE probes,auroc,0.796,0.632
2_stanford_hint,TF-IDF,auroc,0.821,0.542
2_stanford_hint,Few-shot LLMs,auroc,0.864,0.643
2_stanford_hint,Zero-shot LLMs,auroc,0.86,0.615
3_atypical_answer,Linear probes,gmean2,0.289,0.086
3_atypical_answer,Attention probes,gmean2,0.263,0.217
3_atypical_answer,SAE probes,gmean2,0.267,0.237
3_atypical_answer,TF-IDF,gmean2,0.246,0.241
3_atypical_answer,Few-shot LLMs (conf),gmean2,0.388,0.28
3_atypical_answer,Zero-shot LLMs (conf),gmean2,0.407,0.227
3_atypical_answer,Few-shot LLMs (binary),gmean2,0.514,0.292
3_atypical_answer,Zero-shot LLMs (binary),gmean2,0.413,0.279
3_atypical_answer,Linear probes,auroc,0.586,0.522
3_atypical_answer,Attention probes,auroc,0.546,0.503
3_atypical_answer,SAE probes,auroc,0.533,0.49
3_atypical_answer,TF-IDF,auroc,0.536,0.492
3_atypical_answer,Few-shot LLMs,auroc,0.638,0.514
3_atypical_answer,Zero-shot LLMs,auroc,0.657,0.478
4_answer_entropy,Linear probes,r2,-0.682,-4.399
4_answer_entropy,Attention probes,r2,0.417,-0.875
4_answer_entropy,SAE probes,r2,-0.46,-3.606
4_answer_entropy,TF-IDF,r2,0.153,-1.139
4_answer_entropy,Few-shot LLMs,r2,0.237,-2.284
4_answer_entropy,Zero-shot LLMs,r2,0.25,-1.639
